ImageId,Label
1,2
2,0
3,9
4,7
5,2
6,3
7,0
8,3
9,0
10,3
11,3
12,7
13,7
14,0
15,4
16,0
17,3
18,1
19,9
20,0
21,9
22,1
23,2
24,5
25,7
26,4
27,6
28,9
29,8
30,7
31,7
32,5
33,4
34,1
35,6
36,3
37,5
38,5
39,1
40,6
41,7
42,7
43,4
44,9
45,8
46,7
47,8
48,8
49,6
50,1
51,6
52,8
53,1
54,3
55,8
56,6
57,1
58,2
59,2
60,5
61,7
62,2
63,7
64,0
65,0
66,0
67,1
68,4
69,0
70,1
71,6
72,5
73,8
74,8
75,2
76,8
77,3
78,9
79,2
80,3
81,5
82,9
83,1
84,0
85,4
86,6
87,4
88,3
89,6
90,9
91,2
92,0
93,6
94,6
95,1
96,7
97,8
98,8
99,7
100,4
101,0
102,3
103,2
104,0
105,7
106,9
107,0
108,3
109,6
110,9
111,6
112,0
113,4
114,7
115,1
116,7
117,1
118,1
119,3
120,8
121,3
122,7
123,2
124,8
125,6
126,3
127,8
128,7
129,1
130,7
131,5
132,5
133,6
134,0
135,0
136,0
137,3
138,1
139,3
140,6
141,9
142,3
143,4
144,5
145,5
146,8
147,7
148,4
149,2
150,8
151,4
152,3
153,5
154,6
155,3
156,7
157,7
158,5
159,7
160,8
161,3
162,0
163,4
164,5
165,1
166,8
167,7
168,2
169,5
170,6
171,3
172,7
173,4
174,6
175,1
176,1
177,7
178,2
179,1
180,2
181,7
182,8
183,8
184,6
185,4
186,9
187,6
188,1
189,6
190,0
191,6
192,1
193,4
194,2
195,6
196,0
197,9
198,7
199,0
200,9
201,1
202,4
203,0
204,4
205,9
206,0
207,8
208,4
209,6
210,6
211,0
212,9
213,3
214,6
215,9
216,2
217,1
218,6
219,1
220,4
221,2
222,5
223,1
224,5
225,2
226,8
227,4
228,6
229,1
230,0
231,0
232,4
233,9
234,8
235,7
236,2
237,2
238,3
239,8
240,6
241,3
242,6
243,6
244,8
245,5
246,5
247,4
248,8
249,3
250,5
251,9
252,7
253,1
254,3
255,8
256,4
257,5
258,1
259,4
260,2
261,6
262,0
263,3
264,5
265,7
266,0
267,6
268,8
269,3
270,1
271,6
272,0
273,6
274,3
275,9
276,4
277,1
278,9
279,8
280,4
281,0
282,9
283,2
284,0
285,5
286,3
287,7
288,3
289,9
290,9
291,5
292,9
293,7
294,4
295,4
296,6
297,3
298,0
299,3
300,3
301,6
302,4
303,8
304,2
305,8
306,2
307,7
308,1
309,9
310,5
311,8
312,5
313,4
314,0
315,0
316,3
317,5
318,7
319,1
320,8
321,4
322,1
323,1
324,3
325,8
326,4
327,3
328,1
329,3
330,9
331,6
332,3
333,1
334,3
335,0
336,4
337,0
338,0
339,6
340,0
341,6
342,7
343,1
344,6
345,6
346,0
347,2
348,5
349,2
350,8
351,6
352,7
353,7
354,2
355,3
356,8
357,8
358,9
359,6
360,7
361,8
362,6
363,3
364,8
365,9
366,6
367,3
368,8
369,1
370,6
371,8
372,3
373,9
374,9
375,7
376,6
377,9
378,5
379,3
380,7
381,6
382,5
383,5
384,4
385,6
386,6
387,2
388,1
389,5
390,7
391,1
392,7
393,9
394,4
395,6
396,1
397,1
398,1
399,7
400,3
401,3
402,7
403,6
404,1
405,1
406,1
407,2
408,5
409,8
410,5
411,5
412,5
413,4
414,1
415,5
416,9
417,1
418,1
419,3
420,5
421,3
422,6
423,6
424,5
425,3
426,1
427,4
428,7
429,4
430,7
431,4
432,8
433,3
434,2
435,2
436,1
437,3
438,9
439,5
440,0
441,8
442,4
443,7
444,9
445,3
446,4
447,1
448,5
449,3
450,9
451,5
452,7
453,6
454,4
455,5
456,2
457,2
458,3
459,1
460,8
461,1
462,7
463,8
464,0
465,5
466,1
467,7
468,9
469,4
470,1
471,1
472,4
473,4
474,3
475,6
476,0
477,7
478,3
479,1
480,0
481,4
482,8
483,1
484,2
485,7
486,4
487,9
488,8
489,3
490,9
491,5
492,4
493,8
494,4
495,6
496,7
497,8
498,3
499,6
500,0
501,6
502,5
503,4
504,2
505,1
506,8
507,3
508,3
509,0
510,6
511,7
512,2
513,8
514,7
515,3
516,3
517,5
518,7
519,0
520,3
521,2
522,9
523,0
524,7
525,9
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,3
534,8
535,5
536,5
537,6
538,3
539,9
540,3
541,0
542,2
543,9
544,2
545,0
546,3
547,0
548,4
549,3
550,1
551,1
552,3
553,0
554,3
555,0
556,0
557,7
558,5
559,6
560,2
561,6
562,5
563,1
564,1
565,6
566,3
567,4
568,1
569,1
570,4
571,7
572,5
573,3
574,6
575,0
576,4
577,8
578,6
579,4
580,2
581,3
582,1
583,7
584,6
585,9
586,1
587,7
588,6
589,8
590,8
591,8
592,8
593,4
594,5
595,6
596,6
597,6
598,6
599,0
600,3
601,1
602,1
603,7
604,1
605,6
606,2
607,8
608,5
609,6
610,4
611,7
612,4
613,8
614,2
615,8
616,4
617,7
618,0
619,0
620,7
621,8
622,8
623,9
624,4
625,0
626,8
627,1
628,3
629,6
630,9
631,6
632,1
633,8
634,6
635,1
636,4
637,7
638,7
639,8
640,3
641,0
642,9
643,9
644,8
645,5
646,7
647,4
648,4
649,1
650,8
651,7
652,9
653,0
654,0
655,8
656,2
657,4
658,3
659,3
660,7
661,6
662,3
663,4
664,0
665,4
666,8
667,1
668,3
669,3
670,6
671,3
672,9
673,4
674,3
675,8
676,7
677,7
678,5
679,6
680,0
681,6
682,9
683,8
684,8
685,1
686,3
687,2
688,6
689,7
690,9
691,2
692,6
693,0
694,1
695,8
696,4
697,3
698,4
699,8
700,8
701,4
702,0
703,4
704,0
705,6
706,5
707,8
708,2
709,6
710,5
711,3
712,8
713,1
714,5
715,9
716,6
717,6
718,3
719,7
720,3
721,9
722,3
723,1
724,0
725,1
726,0
727,6
728,9
729,8
730,5
731,7
732,1
733,3
734,2
735,7
736,7
737,1
738,0
739,1
740,5
741,4
742,4
743,3
744,3
745,5
746,9
747,8
748,7
749,8
750,6
751,4
752,9
753,4
754,4
755,7
756,4
757,7
758,1
759,1
760,2
761,2
762,0
763,4
764,0
765,4
766,0
767,0
768,8
769,1
770,8
771,6
772,8
773,0
774,1
775,8
776,3
777,4
778,6
779,3
780,1
781,2
782,6
783,4
784,8
785,3
786,5
787,3
788,8
789,3
790,8
791,5
792,5
793,4
794,0
795,4
796,9
797,1
798,6
799,9
800,9
801,1
802,1
803,3
804,3
805,1
806,4
807,5
808,6
809,8
810,1
811,5
812,4
813,7
814,8
815,4
816,4
817,0
818,9
819,9
820,4
821,3
822,0
823,5
824,0
825,7
826,9
827,0
828,4
829,4
830,2
831,8
832,8
833,5
834,9
835,1
836,9
837,6
838,1
839,3
840,3
841,8
842,9
843,0
844,8
845,4
846,6
847,7
848,2
849,1
850,5
851,8
852,9
853,7
854,4
855,6
856,8
857,1
858,3
859,9
860,5
861,0
862,4
863,1
864,4
865,8
866,3
867,6
868,9
869,2
870,5
871,2
872,5
873,3
874,2
875,3
876,7
877,1
878,1
879,0
880,1
881,4
882,2
883,1
884,1
885,2
886,7
887,1
888,5
889,4
890,9
891,1
892,9
893,6
894,0
895,4
896,6
897,9
898,9
899,6
900,1
901,5
902,3
903,5
904,7
905,4
906,7
907,8
908,5
909,2
910,7
911,2
912,0
913,4
914,7
915,1
916,6
917,4
918,6
919,1
920,0
921,7
922,1
923,5
924,9
925,4
926,7
927,4
928,4
929,6
930,3
931,5
932,2
933,1
934,4
935,5
936,3
937,7
938,7
939,9
940,5
941,6
942,0
943,6
944,1
945,0
946,9
947,3
948,6
949,3
950,6
951,6
952,5
953,5
954,2
955,3
956,1
957,8
958,1
959,0
960,6
961,7
962,9
963,4
964,0
965,2
966,3
967,1
968,8
969,8
970,3
971,3
972,2
973,2
974,6
975,7
976,0
977,8
978,0
979,7
980,4
981,5
982,8
983,7
984,4
985,7
986,7
987,0
988,3
989,2
990,2
991,1
992,9
993,5
994,6
995,8
996,3
997,6
998,2
999,2
1000,9
1001,0
1002,9
1003,0
1004,7
1005,1
1006,8
1007,4
1008,6
1009,3
1010,7
1011,6
1012,6
1013,3
1014,7
1015,3
1016,7
1017,2
1018,3
1019,4
1020,8
1021,5
1022,4
1023,3
1024,6
1025,2
1026,6
1027,1
1028,5
1029,5
1030,1
1031,9
1032,1
1033,8
1034,9
1035,4
1036,5
1037,8
1038,5
1039,2
1040,5
1041,1
1042,6
1043,1
1044,9
1045,6
1046,1
1047,9
1048,7
1049,6
1050,6
1051,3
1052,6
1053,3
1054,5
1055,9
1056,1
1057,1
1058,3
1059,6
1060,3
1061,0
1062,0
1063,6
1064,0
1065,9
1066,4
1067,9
1068,0
1069,5
1070,9
1071,8
1072,3
1073,7
1074,6
1075,7
1076,2
1077,6
1078,1
1079,6
1080,9
1081,3
1082,0
1083,2
1084,1
1085,7
1086,7
1087,6
1088,6
1089,3
1090,1
1091,3
1092,1
1093,0
1094,1
1095,7
1096,6
1097,3
1098,3
1099,9
1100,3
1101,4
1102,6
1103,4
1104,1
1105,8
1106,6
1107,0
1108,6
1109,4
1110,6
1111,7
1112,8
1113,0
1114,1
1115,0
1116,5
1117,2
1118,6
1119,6
1120,9
1121,1
1122,5
1123,7
1124,1
1125,6
1126,3
1127,4
1128,6
1129,1
1130,6
1131,0
1132,5
1133,8
1134,5
1135,3
1136,6
1137,8
1138,7
1139,7
1140,7
1141,0
1142,0
1143,6
1144,1
1145,6
1146,8
1147,4
1148,5
1149,5
1150,3
1151,8
1152,7
1153,5
1154,4
1155,4
1156,4
1157,7
1158,1
1159,8
1160,0
1161,9
1162,1
1163,4
1164,0
1165,6
1166,4
1167,1
1168,2
1169,4
1170,4
1171,8
1172,2
1173,9
1174,1
1175,8
1176,1
1177,8
1178,7
1179,2
1180,3
1181,3
1182,8
1183,9
1184,9
1185,0
1186,7
1187,0
1188,3
1189,0
1190,9
1191,7
1192,3
1193,3
1194,8
1195,8
1196,8
1197,3
1198,2
1199,3
1200,4
1201,2
1202,8
1203,5
1204,0
1205,1
1206,7
1207,9
1208,6
1209,4
1210,0
1211,6
1212,8
1213,8
1214,9
1215,5
1216,3
1217,5
1218,7
